,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
1317,200244,112384231,13,-1,105.434,-34.793,-23.3473,-96.7508,-1.57389,-2.55057,-13,1,119.336,22.2172,29.3926,-113.506,-1.84365,0.923546,-13,1,28.284,-5.56819,-5.74197,-27.1293,-1.93557,-2.34083,13,-1,23.1944,-4.56983,-4.6671,-22.2554,-1.93991,-2.34566,91.457694,34.305028,6.96783
1318,200244,187215433,-13,1,75.6516,29.9962,23.3264,-65.416,-1.31169,0.66096,13,-1,33.0785,-23.6071,-9.44166,-21.1598,-0.757644,-2.76113,-13,1,11.2219,-6.68317,-8.46098,-3.10927,-0.28452,-2.23934,13,-1,8.37021,-4.92658,-6.34268,-2.35553,-0.289246,-2.23119,89.258153,45.681663,10.085065
1319,200244,254358329,-13,1,24.9099,12.9962,-20.3188,-6.22378,-0.255257,-1.00176,13,-1,5.7239,-1.95235,-4.05697,-3.53288,-0.720664,-2.01932,-11,1,32.3747,-28.0833,15.1947,-5.34494,-0.166621,2.64564,11,-1,50.9912,-12.3788,14.631,-47.2525,-1.63436,2.273,90.624294,40.701704,11.273531
1320,200244,593639194,-13,1,18.5333,-12.3562,-4.82198,-12.9439,-0.864219,-2.76952,13,-1,10.9735,-10.0316,-0.512732,4.41723,0.426692,-3.09053,-11,1,43.4523,20.3371,9.42317,-37.2251,-1.28077,0.433899,11,-1,25.5266,0.00541,-9.36505,-23.7466,-1.6604,-1.57022,69.551305,25.034364,16.379084
1323,200244,95922345,-13,1,64.3438,-37.4408,-8.93666,-51.56,-1.10229,-2.90729,13,-1,33.7274,12.1723,31.3406,2.6698,0.079325,1.20034,-13,1,53.6604,-2.65392,-23.1164,48.353,1.47801,-1.6851,13,-1,36.7519,0.971267,16.0887,-33.0289,-1.46542,1.5105,182.856647,106.206032,40.291003
1325,200245,268123344,13,-1,111.371,17.7332,-21.1648,107.894,2.07203,-0.87339,-13,1,67.7217,-24.9017,-1.30459,62.9637,1.65649,-3.08925,11,-1,22.2049,6.8076,13.4728,16.2849,0.936028,1.10293,-11,1,15.8859,2.13631,11.783,10.4383,0.787663,1.39144,90.108515,48.224275,4.350939
1329,200368,37586909,11,-1,69.3905,41.8459,-14.6774,53.3717,1.01824,-0.337342,-11,1,99.5602,-22.1803,1.8404,97.0407,2.17854,3.05881,-11,1,11.2391,-6.85602,2.78129,8.46025,0.979281,2.75621,11,-1,10.8963,-7.10165,1.84494,8.05553,0.948916,2.88742,92.46017,36.067031,16.779944
1333,200369,409967871,13,-1,36.6824,16.4953,-12.8912,-30.1216,-1.16033,-0.663362,-13,1,38.8325,-12.6064,15.374,33.3567,1.28949,2.2576,-11,1,28.7229,8.38973,-6.46726,-26.6982,-1.65476,-0.656714,11,-1,18.6311,6.02346,-0.94803,-17.605,-1.78216,-0.156109,114.240456,75.304359,4.111109
1334,200369,48304581,13,-1,91.203,71.9544,18.0751,53.0455,0.664908,0.24611,-13,1,30.8103,-0.128804,-19.9897,-23.4448,-0.998458,-1.57724,-11,1,107.685,-53.0526,-39.816,-84.8306,-1.06551,-2.49777,11,-1,54.3442,-16.5282,42.4006,-29.7034,-0.613491,1.94249,271.036876,94.066264,91.03437
1338,200369,565681202,11,-1,51.1691,-29.7768,-39.9479,-11.6525,-0.231789,-2.21134,-11,1,41.1081,20.3123,25.3864,-25.1558,-0.712021,0.895978,11,-1,7.07744,6.20769,3.39303,-0.205295,-0.029015,0.500217,-11,1,6.78095,6.19618,2.75416,-0.057574,-0.008491,0.418265,99.050751,35.800314,12.1283
1339,200369,682768055,13,-1,72.6588,72.1765,-1.429,-8.23458,-0.113821,-0.019796,-13,1,38.7315,-12.3007,-29.1488,22.3419,0.657717,-1.97012,11,-1,63.339,-62.5163,-8.96117,-4.8213,-0.076266,-2.99922,-11,1,63.9772,5.20254,45.1022,-45.0756,-0.876293,1.45595,235.928772,95.544089,87.685057
1343,200381,187761739,13,-1,38.5333,9.8379,-9.77936,-35.9497,-1.68073,-0.782414,-13,1,9.78342,5.64132,-7.80632,1.71493,0.177129,-0.945023,-11,1,45.6365,10.5231,-12.6186,-42.5761,-1.6806,-0.875705,11,-1,10.0672,5.3627,-8.26147,2.0829,0.20993,-0.995038,52.655483,27.836433,24.771426
1344,200466,153791279,-13,1,83.5879,-49.9077,60.1416,-29.6502,-0.370832,2.26347,13,-1,35.2439,11.6191,7.09282,32.5086,1.60484,0.548065,11,-1,26.5579,-23.4586,7.12186,-10.2125,-0.405374,2.84684,-11,1,24.0504,-2.71281,18.033,15.6803,0.778733,1.72011,126.292319,90.146226,34.836669
1345,200466,181152989,-11,1,166.907,-64.3235,10.0508,-153.686,-1.59419,2.98659,-11,1,193.762,32.7414,-23.0763,-189.576,-2.25863,-0.613944,11,-1,25.751,8.24157,20.9611,-12.4829,-0.52918,1.19618,11,-1,10.7769,3.01373,8.43587,-5.99126,-0.62693,1.22768,161.960255,75.326491,44.430801
